WARNING 2026-04-21 11:08:39,576 log 9316 13860 Not Found: /course/banner/
WARNING 2026-04-21 11:08:39,586 log 9316 27948 Not Found: /course/cate/
WARNING 2026-04-21 11:08:39,581 log 9316 30676 Not Found: /course/nav/
WARNING 2026-04-21 11:08:39,586 basehttp 9316 13860 "GET /course/banner/ HTTP/1.1" 404 2624
WARNING 2026-04-21 11:08:39,591 basehttp 9316 27948 "GET /course/cate/ HTTP/1.1" 404 2618
WARNING 2026-04-21 11:08:39,594 basehttp 9316 30676 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 11:08:40,982 log 9316 30676 Not Found: /course/nav/
WARNING 2026-04-21 11:08:40,982 basehttp 9316 30676 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 11:08:46,849 log 9316 30676 Not Found: /course/nav/
WARNING 2026-04-21 11:08:46,859 log 9316 27948 Not Found: /course/cate/
WARNING 2026-04-21 11:08:46,864 log 9316 13860 Not Found: /course/banner/
WARNING 2026-04-21 11:08:46,864 basehttp 9316 27948 "GET /course/cate/ HTTP/1.1" 404 2618
WARNING 2026-04-21 11:08:46,864 basehttp 9316 30676 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 11:08:46,864 basehttp 9316 13860 "GET /course/banner/ HTTP/1.1" 404 2624
WARNING 2026-04-21 11:09:12,509 log 9316 13860 Not Found: /course/nav/
WARNING 2026-04-21 11:09:12,513 basehttp 9316 13860 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 11:09:14,037 log 9316 13860 Not Found: /course/nav/
WARNING 2026-04-21 11:09:14,039 basehttp 9316 13860 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 11:09:18,732 log 9316 13860 Not Found: /course/nav/
WARNING 2026-04-21 11:09:18,734 basehttp 9316 13860 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 11:09:18,858 log 9316 13860 Not Found: /course/nav/
WARNING 2026-04-21 11:09:18,859 basehttp 9316 13860 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 11:09:28,958 log 9316 3124 Not Found: /course/banner/
WARNING 2026-04-21 11:09:28,963 log 9316 30676 Not Found: /course/cate/
WARNING 2026-04-21 11:09:28,972 log 9316 27948 Not Found: /course/nav/
INFO 2026-04-21 11:09:28,972 basehttp 9316 13860 "POST /login/ HTTP/1.1" 200 32
WARNING 2026-04-21 11:09:28,974 basehttp 9316 3124 "GET /course/banner/ HTTP/1.1" 404 2624
WARNING 2026-04-21 11:09:28,975 basehttp 9316 27948 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 11:09:28,976 basehttp 9316 30676 "GET /course/cate/ HTTP/1.1" 404 2618
INFO 2026-04-21 11:40:24,572 basehttp 9316 13088 "OPTIONS /login/ HTTP/1.1" 200 0
WARNING 2026-04-21 11:40:24,574 log 9316 8288 Not Found: /course/nav/
WARNING 2026-04-21 11:40:24,578 log 9316 6276 Not Found: /course/cate/
WARNING 2026-04-21 11:40:24,581 log 9316 28524 Not Found: /course/banner/
INFO 2026-04-21 11:40:24,583 basehttp 9316 13088 "POST /login/ HTTP/1.1" 200 32
WARNING 2026-04-21 11:40:24,583 basehttp 9316 8288 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 11:40:24,584 basehttp 9316 6276 "GET /course/cate/ HTTP/1.1" 404 2618
WARNING 2026-04-21 11:40:24,584 basehttp 9316 28524 "GET /course/banner/ HTTP/1.1" 404 2624
WARNING 2026-04-21 14:18:07,637 log 9316 35408 Not Found: /course/nav/
WARNING 2026-04-21 14:18:07,650 log 9316 34424 Not Found: /course/cate/
INFO 2026-04-21 14:18:07,652 basehttp 9316 15952 "OPTIONS /login/ HTTP/1.1" 200 0
WARNING 2026-04-21 14:18:07,652 basehttp 9316 35408 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 14:18:07,670 log 9316 35492 Not Found: /course/banner/
INFO 2026-04-21 14:18:07,682 basehttp 9316 15952 "POST /login/ HTTP/1.1" 200 32
WARNING 2026-04-21 14:18:07,679 basehttp 9316 34424 "GET /course/cate/ HTTP/1.1" 404 2618
WARNING 2026-04-21 14:18:07,684 basehttp 9316 35492 "GET /course/banner/ HTTP/1.1" 404 2624
INFO 2026-04-21 14:18:10,001 basehttp 9316 35492 "POST /login/ HTTP/1.1" 200 32
WARNING 2026-04-21 14:18:10,004 log 9316 34424 Not Found: /course/cate/
WARNING 2026-04-21 14:18:10,011 log 9316 15952 Not Found: /course/nav/
WARNING 2026-04-21 14:18:10,019 log 9316 35408 Not Found: /course/banner/
WARNING 2026-04-21 14:18:10,025 basehttp 9316 34424 "GET /course/cate/ HTTP/1.1" 404 2618
WARNING 2026-04-21 14:18:10,026 basehttp 9316 15952 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 14:18:10,027 basehttp 9316 35408 "GET /course/banner/ HTTP/1.1" 404 2624
WARNING 2026-04-21 14:18:14,974 log 9316 15952 Not Found: /course/nav/
INFO 2026-04-21 14:18:14,975 basehttp 9316 35408 "POST /login/ HTTP/1.1" 200 32
WARNING 2026-04-21 14:18:14,986 log 9316 35492 Not Found: /course/banner/
WARNING 2026-04-21 14:18:14,995 log 9316 34424 Not Found: /course/cate/
WARNING 2026-04-21 14:18:14,996 basehttp 9316 15952 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 14:18:15,000 basehttp 9316 35492 "GET /course/banner/ HTTP/1.1" 404 2624
WARNING 2026-04-21 14:18:15,001 basehttp 9316 34424 "GET /course/cate/ HTTP/1.1" 404 2618
WARNING 2026-04-21 14:21:05,274 log 9316 34424 Not Found: /course/nav/
WARNING 2026-04-21 14:21:05,276 basehttp 9316 34424 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 14:21:50,337 log 9316 34424 Not Found: /course/nav/
WARNING 2026-04-21 14:21:50,340 basehttp 9316 34424 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 14:22:01,854 log 9316 34424 Not Found: /course/nav/
WARNING 2026-04-21 14:22:01,856 basehttp 9316 34424 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 14:23:09,702 log 9316 34424 Not Found: /course/nav/
WARNING 2026-04-21 14:23:09,704 basehttp 9316 34424 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 14:23:09,946 log 9316 34424 Not Found: /course/nav/
WARNING 2026-04-21 14:23:09,949 basehttp 9316 34424 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 14:23:28,165 log 9316 34424 Not Found: /course/nav/
WARNING 2026-04-21 14:23:28,166 basehttp 9316 34424 "GET /course/nav/ HTTP/1.1" 404 2615
